University,sub_topic,major_field,USNEWSmajor_ranking,qsmajor_ranking,thmajor_ranking,mean_school_world_reputation,mean_students_per_staff,mean_international_students,Technology_strategy,studentview_major,avgRating,numRatings,avgDifficulty,rating
11,7,3,1,42,7,6,8.071428571,23.571428571428573,0,4.363636363636363,0.16666666666666666,0.16666666666666666,0.5,3.8354430379746836
11,2,3,1,42,7,6,8.071428571,23.571428571428573,0,4.363636363636363,0.16666666666666666,0.16666666666666666,0.5,5.0
11,5,3,1,42,7,6,8.071428571,23.571428571428573,0,4.363636363636363,0.16666666666666666,0.16666666666666666,0.5,4.297297297297297
11,1,3,1,42,7,6,8.071428571,23.571428571428573,0,4.363636363636363,0.16666666666666666,0.16666666666666666,0.5,4.5
11,3,3,1,42,7,6,8.071428571,23.571428571428573,0,4.363636363636363,0.16666666666666666,0.16666666666666666,0.5,3.909090909090909
11,8,3,1,42,7,6,8.071428571,23.571428571428573,0,4.363636363636363,0.16666666666666666,0.16666666666666666,0.5,4.25
11,6,3,1,42,7,6,8.071428571,23.571428571428573,0,4.363636363636363,0.16666666666666666,0.16666666666666666,0.5,4.363636363636363
11,4,3,1,42,7,6,8.071428571,23.571428571428573,0,4.363636363636363,0.16666666666666666,0.16666666666666666,0.5,4.42
11,0,3,1,42,7,6,8.071428571,23.571428571428573,0,4.363636363636363,0.16666666666666666,0.16666666666666666,0.5,4.168674698795181
11,9,3,1,42,7,6,8.071428571,23.571428571428573,0,4.363636363636363,0.16666666666666666,0.16666666666666666,0.5,4.153846153846154
11,7,5,1,28,8,6,8.071428571,23.571428571428573,0,4.363636363636363,1.2909090909090908,0.6818181818181818,1.1454545454545455,3.8354430379746836
11,2,5,1,28,8,6,8.071428571,23.571428571428573,0,4.363636363636363,1.2909090909090908,0.6818181818181818,1.1454545454545455,5.0
11,5,5,1,28,8,6,8.071428571,23.571428571428573,0,4.363636363636363,1.2909090909090908,0.6818181818181818,1.1454545454545455,4.297297297297297
11,1,5,1,28,8,6,8.071428571,23.571428571428573,0,4.363636363636363,1.2909090909090908,0.6818181818181818,1.1454545454545455,4.5
11,3,5,1,28,8,6,8.071428571,23.571428571428573,0,4.363636363636363,1.2909090909090908,0.6818181818181818,1.1454545454545455,3.909090909090909
11,8,5,1,28,8,6,8.071428571,23.571428571428573,0,4.363636363636363,1.2909090909090908,0.6818181818181818,1.1454545454545455,4.25
11,6,5,1,28,8,6,8.071428571,23.571428571428573,0,4.363636363636363,1.2909090909090908,0.6818181818181818,1.1454545454545455,4.363636363636363
