name,Model1weight,Model2weight,lastphrase
Lambert,0.4174297935376853,0.5825702064623147,"University of Pennsylvania,Yale University,The University of North Carolina at Chapel Hill"
Lambert,0.7310585786300049,0.2689414213699951,"University of Pennsylvania,University of Washington,Yale University"
Lambert,0.8175744761936437,0.1824255238063563,well design culture
Bei,0.5825702064623147,0.4174297935376853,diversed major setting
Hanqi,0.5825702064623147,0.4174297935376853,beautiful library
sl,0.4174297935376853,0.5825702064623147,diversed major setting
Glenn,0.4174297935376853,0.8175744761936437,unique CS courses
Potts,0.0293122307513563,0.9706877692486436,great computer labs
Berkeley,0.029312230751356316,0.8411308951190849,strong engineering
